央视,#genre#
CCTV1,http://39.134.13.34:6610/180000001001/00000001000000000007000000001243/index.m3u8?
CCTV1,http://39.134.13.35:6610/180000001001/00000000000000020000000000182562/index.m3u8?
CCTV1,http://39.134.13.35:6610/180000001001/00000001000000000002000000027984/index.m3u8?
CCTV1,http://39.134.13.35:6610/180000001001/00000001000000000007000000001243/index.m3u8?
CCTV1,http://39.134.13.35:6610/180000001001/00000001000000001001000000000036/index.m3u8?
CCTV1,http://39.134.13.35:6610/180000001001/00000001000000001001000000000036/main.m3u8?IASHttpSessionId=OTT
CCTV1,http://39.134.13.36:6610/180000001001/00000001000000000007000000001243/index.m3u8?
CCTV1,http://39.134.13.37:6610/180000001001/00000001000000000007000000001243/index.m3u8?
CCTV1,http://39.134.13.38:6610/180000001001/00000001000000000007000000001243/index.m3u8?
CCTV1,http://39.134.13.45:6610/180000001001/00000001000000000007000000001243/index.m3u8?
CCTV1,http://39.134.13.66:6610/180000001001/00000001000000000007000000001243/index.m3u8?
CCTV1,http://39.134.13.73:6610/180000001001/00000001000000000007000000001243/index.m3u8?
CCTV1,http://39.134.240.3/PLTV/2/224/3221225886/index.m3u8
CCTV1,http://39.134.240.3/PLTV/2/224/3221226134/index.m3u8
CCTV1,http://39.134.242.92:80/180000001002/00000001000000000007000000001243/index.m3u8

CCTV2,http://39.134.13.35:6610/180000001001/00000001000000000008000000047431/index.m3u8?
CCTV2,http://39.134.13.35:6610/180000001001/00000001000000001001000000000050/index.m3u8?
CCTV2,http://39.134.13.35:6610/180000001001/00000001000000001001000000000050/main.m3u8?IASHttpSessionId=OTT
CCTV2,http://39.134.240.3/PLTV/2/224/3221225920/index.m3u8
CCTV2,http://39.134.240.3/PLTV/2/224/3221226188/index.m3u8
CCTV2,http://39.134.242.92:80/180000001002/00000001000000000008000000047431/index.m3u8


CCTV3,http://39.134.13.35:6610/180000001001/00000001000000001001000000000051/main.m3u8?IASHttpSessionId=OTT
CCTV3,http://39.134.240.3/PLTV/2/224/3221226180/index.m3u8
